"","X","ID","OG_ID","Triangle","Corner","TriangleCorner","date","SnowDepth","SnowDepth_Noplus","temperature","x_4326","y_4326","x_3006","y_3006","MiddleTime","era5_new_date","era5_plusminus","era5_precip","era5_temp","granule_time","time_difference","granule_id","orbitProp","pathNr","frameNr","mask.tif","angle.tif","VH.tif","VV.tif","point_VH","point_VV","points_angle","points_mask"
"1",0,293,306,"AC-33","C","AC-33C","2017-03-04","40",40,-7,16.08053297,66.03404496,548974.3517,7324126.804,"13:57:30","2017-03-03","minus",0,-12.7,"05:36:55","32:20:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"2",1,7,8,"AC-33","A","AC-33A","2017-03-04","35",35,-7,16.03670724,66.06518167,546930.7414,7327563.494,"13:57:30","2017-03-03","minus",0,-12.7,"05:36:55","32:20:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","0.023669437021292","0.192476347451387","31.323945814916","0"
"3",2,149,157,"AC-33","B","AC-33B","2017-03-04","30",30,-7,16.12502754,66.06502455,550928.8997,7327614.924,"13:57:30","2017-03-03","minus",0,-12.7,"05:36:55","32:20:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"4",3,148,156,"AC-41","B","AC-41B","2017-03-04","13",13,-9,16.35196411,65.83569752,561751.7168,7302261.377,"11:50:00","2017-03-03","minus",0,-12.7,"05:36:55","30:13:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"5",4,147,155,"AC-40","B","AC-40B","2017-03-04","75",75,-9,16.17741866,65.87209272,553703.9877,7306156.875,"10:12:30","2017-03-03","minus",0,-12.7,"05:36:55","28:35:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"6",5,146,154,"AC-39","B","AC-39B","2017-03-04","70",70,-15,16.0215596,65.89003991,546562.9883,7308032.57,"08:35:00","2017-03-03","minus",0,-12.7,"05:36:55","26:58:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"7",6,292,305,"AC-41","C","AC-41C","2017-03-04","125",125,-9,16.30759412,65.80478255,559797.0704,7298773.267,"11:50:00","2017-03-03","minus",0,-12.7,"05:36:55","30:13:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"8",7,291,304,"AC-40","C","AC-40C","2017-03-04","155",155,-9,16.13319552,65.84112738,551749.3676,7302668.783,"10:12:30","2017-03-03","minus",0,-12.7,"05:36:55","28:35:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"9",8,290,303,"AC-39","C","AC-39C","2017-03-04","30",30,-15,15.99713695,65.85558969,545510.8611,7304175.201,"08:35:00","2017-03-03","minus",0,-12.7,"05:36:55","26:58:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
"10",9,6,7,"AC-41","A","AC-41A","2017-03-04","70",70,-9,16.26443367,65.83598422,557753.5181,7302210.037,"11:50:00","2017-03-03","minus",0,-12.7,"05:36:55","30:13:00","S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5","DESCENDING",139,371,"C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_layoverShadowMask.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_localIncidenceAngle.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif","C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_500/30_2017-03-03_clip_500/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif","NA","NA","NA","0"
